STATEFIP,age_recoded,race_recoded,male,education_recoded,PERWT,prop
9,3,3,True,3,738.0,2.9135811575721895e-06
9,3,4,False,1,41129.0,0.0001623749043764046
9,3,4,False,3,5634.0,2.2242704934636473e-05
9,3,4,True,1,34499.0,0.00013620004926163004
9,3,4,True,3,3962.0,1.564174599769785e-05
9,3,9,False,1,7096.0,2.8014596062509832e-05
9,3,9,False,3,159.0,6.277227697208376e-07
9,3,9,True,1,6266.0,2.4737804245728103e-05
9,3,9,True,3,87.0,3.4347094946989226e-07
10,1,1,False,1,57871.0,0.00022847134846864524
10,1,1,False,3,290.0,1.144903164899641e-06
10,1,1,True,1,58816.0,0.0002322021536094389
10,1,1,True,3,366.0,1.4449467529423054e-06
10,1,2,False,1,25357.0,0.00010010796397365584
10,1,2,False,3,8.0,3.1583535583438366e-08
10,1,2,True,1,24992.0,9.866696516266147e-05
10,1,2,True,3,112.0,4.421694981681372e-07
10,1,3,False,1,5367.0,2.1188604434539215e-05
10,1,3,True,1,5354.0,2.113728118921613e-05
10,1,4,False,1,11209.0,4.4252481294345086e-05
10,1,4,False,3,322.0,1.2712373072333943e-06
10,1,4,True,1,11998.0,4.73674074912617e-05
10,1,4,True,3,557.0,2.1990036649968966e-06
10,1,9,False,1,4969.0,1.9617323539263155e-05
10,1,9,True,1,4275.0,1.6877451827399877e-05
10,1,9,True,3,20.0,7.895883895859593e-08
10,2,1,False,1,71115.0,0.00028075789162702744
10,2,1,False,3,611.0,2.4121925301851053e-06
10,2,1,True,1,67514.0,0.00026654135267253226
10,2,1,True,3,451.0,1.780521818516338e-06
10,2,2,False,1,28974.0,0.00011438766999931791
10,2,2,False,3,330.0,1.3028208428168327e-06
10,2,2,True,1,24849.0,9.810240946410751e-05
10,2,2,True,3,76.0,3.000435880426645e-07
10,2,3,False,1,5565.0,2.1970296940229317e-05
10,2,3,False,3,123.0,4.85596859595365e-07
10,2,3,True,1,5787.0,2.284674005266973e-05
10,2,3,True,3,4.0,1.5791767791719183e-08
10,2,4,False,1,10699.0,4.223903090090089e-05
10,2,4,False,3,624.0,2.4635157755081926e-06
10,2,4,True,1,11273.0,4.450514957901259e-05
10,2,4,True,3,989.0,3.904514586502568e-06
10,2,9,False,1,2876.0,1.1354281042246094e-05
10,2,9,True,1,1960.0,7.7379662179424e-06
10,2,9,True,3,2.0,7.895883895859592e-09
10,3,1,False,1,128891.0,0.0005088541856106193
10,3,1,False,3,892.0,3.521564217553378e-06
10,3,1,True,1,109915.0,0.00043393803920670356
10,3,1,True,3,631.0,2.4911513691437013e-06
10,3,2,False,1,29286.0,0.00011561942788707201
10,3,2,False,3,437.0,1.7252506312453208e-06
10,3,2,True,1,22179.0,8.756140446313495e-05
10,3,2,True,3,256.0,1.0106731386700277e-06
10,3,3,False,1,4456.0,1.7592029319975173e-05
10,3,3,False,3,145.0,5.724515824498205e-07
10,3,3,True,1,3534.0,1.39520268439839e-05
10,3,3,True,3,124.0,4.895448015432947e-07
10,3,4,False,1,5247.0,2.0714851400787642e-05
10,3,4,False,3,207.0,8.172239832214678e-07
10,3,4,True,1,4666.0,1.842109712904043e-05
10,3,4,True,3,452.0,1.7844697604642679e-06
10,3,9,False,1,3019.0,1.1918836740800054e-05
10,3,9,False,3,57.0,2.2503269103199838e-07
10,3,9,True,1,3080.0,1.2159661199623771e-05
10,3,9,True,3,37.0,1.4607385207340245e-07
11,1,1,False,1,57852.0,0.00022839633757163456
11,1,1,False,3,47.0,1.8555327155270043e-07
11,1,1,True,1,50653.0,0.00019997510348848796
11,1,1,True,3,54.0,2.13188865188209e-07
11,1,2,False,1,44316.0,0.00017495699536445686
11,1,2,False,3,355.0,1.4015193915150775e-06
11,1,2,True,1,38025.0,0.0001501204925700305
11,1,2,True,3,328.0,1.2949249589209732e-06
11,1,3,False,1,7936.0,3.133086729877086e-05
11,1,3,False,3,27.0,1.065944325941045e-07
11,1,3,True,1,5159.0,2.0367432509369817e-05
11,1,3,True,3,34.0,1.3423002622961308e-07
11,1,4,False,1,12041.0,4.7537168995022677e-05
11,1,4,False,3,80.0,3.158353558343837e-07
11,1,4,True,1,12331.0,4.868207215992232e-05
11,1,4,True,3,247.0,9.751416611386597e-07
11,1,9,False,1,4562.0,1.801051116645573e-05
11,1,9,True,1,3559.0,1.4050725392682144e-05
11,2,1,False,1,33067.0,0.00013054659639219457
11,2,1,False,3,52.0,2.052929812923494e-07
11,2,1,True,1,38090.0,0.00015037710879664594
11,2,1,True,3,6.0,2.3687651687578778e-08
11,2,2,False,1,40277.0,0.0001590112578367684
11,2,2,False,3,621.0,2.4516719496644033e-06
11,2,2,True,1,32737.0,0.00012924377554937773
11,2,2,True,3,779.0,3.0754467774373112e-06
11,2,3,False,1,4889.0,1.9301488183428775e-05
11,2,3,False,3,166.0,6.553583633563462e-07
11,2,3,True,1,3961.0,1.5637798055749922e-05
11,2,4,False,1,8676.0,3.425234434023891e-05
11,2,4,False,3,1361.0,5.373148991132453e-06
11,2,4,True,1,10662.0,4.2092957048827486e-05
11,2,4,True,3,1190.0,4.698050918036457e-06
11,2,9,False,1,2590.0,1.0225169645138172e-05
11,2,9,False,3,29.0,1.1449031648996409e-07
11,2,9,True,1,2739.0,1.0813412995379712e-05
11,2,9,True,3,67.0,2.6451211051129636e-07
11,3,1,False,1,24866.0,9.816952447722231e-05
11,3,1,False,3,69.0,2.7240799440715594e-07
11,3,1,True,1,25426.0,0.000100380371968063
11,3,1,True,3,27.0,1.065944325941045e-07
11,3,2,False,1,51728.0,0.00020421914108251248
11,3,2,False,3,750.0,2.960956460947347e-06
11,3,2,True,1,34619.0,0.0001366738022953816
11,3,2,True,3,1286.0,5.077053345037718e-06
11,3,3,False,1,2470.0,9.751416611386596e-06
11,3,3,False,3,55.0,2.171368071361388e-07
11,3,3,True,1,1453.0,5.7363596503419936e-06
11,3,3,True,3,13.0,5.132324532308735e-08
11,3,4,False,1,4743.0,1.8725088659031022e-05
